n,total_comparisons,execution_time(ns)
0,10000,6903
0,10000,7324
0,10000,6903
0,10000,8115
0,10000,6912
0,10000,8586
0,10000,6903
0,10000,7454
0,10000,6963
0,10000,8246
0,10000,8095
0,10000,6913
0,10000,7164
1,10000,6903
1,10000,6893
1,10000,7484
1,10000,7454
1,10000,6893
1,10000,7674
1,10000,7314
1,10000,7814
1,10000,7875
1,10000,6923
1,10000,9127
1,10000,11371
1,10000,6903
2,10000,7804
2,10000,10970
2,10000,8285
2,10000,8596
2,10000,7454
2,10000,8105
2,10000,6983
2,10000,6903
2,10000,6903
2,10000,6883
2,10000,7454
2,10000,7675
2,10000,6893
3,10000,6903
3,10000,8717
3,10000,6903
3,10000,9138
3,10000,7143
3,10000,7133
3,10000,6883
3,10000,8235
3,10000,7133
3,10000,6893
3,10000,6893
3,10000,7144
3,10000,6983
4,10000,6913
4,10000,6893
4,10000,6893
4,10000,8236
4,10000,7805
4,10000,6893
4,10000,7123
4,10000,6913
4,10000,6893
4,10000,6913
4,10000,6923
4,10000,6913
4,10000,6903
5,10000,6903
5,10000,33122
5,10000,7123
5,10000,6913
5,10000,6903
5,10000,6893
5,10000,7454
5,10000,6913
5,10000,10469
5,10000,8306
5,10000,6902
5,10000,10680
5,10000,9157
6,90000,113397
6,90000,97873
6,90000,98184
6,90000,101961
6,90000,98013
6,90000,97993
6,90000,98194
6,90000,98194
6,90000,97643
6,90000,97523
6,90000,98033
6,90000,97813
6,90000,97833
7,110000,114995
7,110000,115566
7,110000,114615
7,110000,111038
7,110000,116267
7,110000,111799
7,110000,115356
7,110000,110998
7,110000,111068
7,110000,112100
7,110000,112480
7,110000,114524
7,110000,136335
8,310000,372227
8,310000,370633
8,310000,365394
8,310000,374796
8,310000,372778
8,310000,373619
8,310000,372698
8,310000,359413
8,310000,381684
8,310000,359253
8,310000,373018
8,310000,372207
8,310000,371145
9,350000,366065
9,350000,369391
9,350000,363921
9,350000,350316
9,350000,354504
9,350000,359283
9,350000,354814
9,350000,354785
9,350000,358180
9,350000,358131
9,350000,361216
9,350000,367738
9,350000,364483
10,720000,866111
10,720000,893813
10,720000,907018
10,720000,855351
10,720000,857906
10,720000,856183
10,720000,950259
10,720000,879005
10,720000,868736
10,720000,864408
10,720000,865791
10,720000,878725
10,720000,877543
11,790000,865740
11,790000,860361
11,790000,874176
11,790000,867804
11,790000,860065
11,790000,870660
11,790000,864223
11,790000,866632
11,790000,853607
11,790000,869257
11,790000,851283
11,790000,869788
11,790000,861252
12,1380000,1415309
12,1380000,1395372
12,1380000,1405070
12,1380000,1393208
12,1380000,1403116
12,1380000,1449564
12,1380000,1586955
12,1380000,1392952
12,1380000,1406603
12,1380000,1398398
12,1380000,1412539
12,1380000,1403778
12,1380000,1403056
13,1490000,1455535
13,1490000,1577217
13,1490000,1458776
13,1490000,1479720
13,1490000,1452619
13,1490000,1455775
13,1490000,1442304
13,1490000,1652323
13,1490000,1454523
13,1490000,1457908
13,1490000,1447910
13,1490000,1448211
13,1490000,1593883
14,2350000,2343957
14,2350000,2450302
14,2350000,2365137
14,2350000,2355434
14,2350000,2450381
14,2350000,2385756
14,2350000,2428145
14,2350000,2437172
14,2350000,2382059
14,2350000,2370657
14,2350000,2387098
14,2350000,2372957
14,2350000,2355179
15,2510000,2352854
15,2510000,2341383
15,2510000,2383216
15,2510000,2386327
15,2510000,2373573
15,2510000,2327050
15,2510000,2393205
15,2510000,2330653
15,2510000,2315229
15,2510000,2578892
15,2510000,2315444
15,2510000,2396701
15,2510000,2381031
16,3690000,3259371
16,3690000,3307571
16,3690000,3282775
16,3690000,3352781
16,3690000,3280220
16,3690000,3271203
16,3690000,3390827
16,3690000,3762663
16,3690000,3273803
16,3690000,3320715
16,3690000,3320775
16,3690000,3331756
16,3690000,3289848
17,3910000,3403615
17,3910000,3408340
17,3910000,3371211
17,3910000,3335564
17,3910000,3367668
17,3910000,3430736
17,3910000,3408224
17,3910000,3356938
17,3910000,3355977
17,3910000,3413584
17,3910000,3359072
17,3910000,3581809
17,3910000,3333510
18,5460000,4505303
18,5460000,4536111
18,5460000,4700729
18,5460000,4487128
18,5460000,4612073
18,5460000,4497910
18,5460000,4510833
18,5460000,4652448
18,5460000,4638001
18,5460000,4501326
18,5460000,4575806
18,5460000,4673328
18,5460000,4576757
19,5750000,4747667
19,5750000,4903478
19,5750000,4754940
19,5750000,4757635
19,5750000,4688626
19,5750000,4686843
19,5750000,4733430
19,5750000,4747115
19,5750000,4746941
19,5750000,4872976
19,5750000,4763100
19,5750000,4710858
19,5750000,4727885
